Month,Mean_Return,Min_Return,Max_Return,Volatility,Ticker
2024-05-31,0.0062509753653913255,-0.02105811765187715,0.05981615244160543,0.015662555888499068,AAPL
2024-06-30,0.005025395316132845,-0.021512932583678035,0.07264905022449875,0.02137097723520335,AAPL
2024-07-31,0.0025263255110646965,-0.028754334918082436,0.029104576415980965,0.015505919723773225,AAPL
2024-08-31,0.0015488872767193634,-0.048167041030217295,0.017193024691488423,0.014390167506207445,AAPL
2024-09-30,0.0009700551739041773,-0.02777522570687141,0.03706552058570356,0.014809655419630365,AAPL
2024-10-31,-0.0012588663408995607,-0.02914164788375384,0.018404058355611763,0.013200377142919507,AAPL
2024-11-30,0.0025666898688062267,-0.014109186922565575,0.02137208191102813,0.009500917812803517,AAPL
2024-12-31,0.0026099050680367586,-0.021421742389975296,0.01881586884400277,0.010244918312434478,AAPL
2025-01-31,-0.002784847978178695,-0.040400197202423715,0.03654394033905306,0.019239260914973917,AAPL
2025-02-28,0.0014727114897668974,-0.033856025787857735,0.021831803540614203,0.016351201168037732,AAPL
2025-03-31,-0.0038607953826865085,-0.048479556019480285,0.019476864216797063,0.019286184900308617,AAPL
2025-04-30,-0.0009618317307378065,-0.09245607865732186,0.15328847287251235,0.049706737684324015,AAPL
2024-05-31,0.0025291146215244763,-0.033786083475529805,0.02216968811762232,0.011741471541774353,MSFT
2024-06-30,0.003927642754945229,-0.013028514573188654,0.01936769408045369,0.008363264281642049,MSFT
2024-07-31,-0.002897496692903123,-0.03585485239254482,0.02188159327380723,0.014703138234438843,MSFT
2024-08-31,2.2517907156990617e-05,-0.03265684279119241,0.017698718353813314,0.012256254358392801,MSFT
2024-09-30,0.0016176082447410312,-0.018459019057063486,0.021342326295261005,0.011562695494627288,MSFT
2024-10-31,-0.002366417079963835,-0.060527553825204916,0.020846284380701574,0.015659353829820213,MSFT
2024-11-30,0.002230101197085316,-0.027852606626585397,0.021968050130088068,0.011736990021556622,MSFT
2024-12-31,-0.00014599524184026667,-0.037561028320673095,0.017758421343760267,0.012477955551881467,MSFT
